feature,importance
proton_flux_proxy_gt100_mev_roll_6h_min,0.013462935193268234
proton_flux_proxy_gt100_mev_roll_7d_min,0.013427113967800606
log_dose_lag_3h,0.013405687002261215
proton_flux_proxy_gt10_mev_roll_6h_std,0.01086394815836591
proton_flux_proxy_gt10_mev_lag_30m,0.010324850142480085
dose_residual_roll_1h_min,0.0101038315150339
proton_flux_proxy_gt50_mev_roll_6h_std,0.008563830226989356
proton_flux_proxy_gt10_mev_lag_15m,0.00716104736670559
log10_xrs_b_flux_lag_190m,0.0069926848167882775
proton_flux_proxy_gt100_mev_roll_1h_max,0.006238424347365581
flux_lag_3d,0.004135353909954741
log10_xrs_a_flux_roll_1h_std,0.0030797189706312567
log10_xrs_b_flux_roll_1h_std,0.0
log10_xrs_b_flux_roll_1h_min,0.0
log10_xrs_b_flux_roll_1h_mean,0.0
dose_residual_orbit_diff_95m,0.0
dose_residual_orbit_diff_190m,0.0
dose_residual_orbit_diff_285m,0.0
dose_residual_orbit_diff_380m,0.0
log_dose_orbit_diff_95m,0.0
log_dose_orbit_diff_190m,0.0
proton_flux_proxy_gt50_mev_roll_1h_mean,0.0
log10_xrs_a_flux_roll_6h_std,0.0
log10_xrs_a_flux_roll_1h_max,0.0
proton_flux_proxy_gt50_mev_roll_1h_min,0.0
proton_flux_proxy_gt50_mev_roll_1h_max,0.0
proton_flux_proxy_gt10_mev_roll_1d_mean,0.0
proton_flux_proxy_gt50_mev_roll_6h_min,0.0
proton_flux_proxy_gt50_mev_roll_1d_mean,0.0
proton_flux_proxy_gt10_mev_roll_6h_mean,0.0
proton_flux_proxy_gt10_mev_roll_1h_max,0.0
proton_flux_proxy_gt10_mev_roll_1h_std,0.0
proton_flux_proxy_gt100_mev_roll_1h_mean,0.0
proton_flux_proxy_gt10_mev_roll_1h_mean,0.0
proton_flux_proxy_gt100_mev_roll_1h_std,0.0
proton_flux_proxy_gt100_mev_roll_1h_min,0.0
proton_flux_proxy_gt100_mev_roll_1d_mean,0.0
proton_flux_proxy_gt50_mev_roll_1h_std,0.0
log10_xrs_a_flux_roll_1h_mean,0.0
proton_flux_proxy_gt100_mev_roll_3d_max,0.0
absorbed_dose_rate,0.0
dose_residual_roll_1h_std,0.0
log10_xrs_b_flux_lag_7d,0.0
dose_residual_lag_1d,0.0
dose_residual_lag_3d,0.0
dose_residual_lag_7d,0.0
log_dose_lag_5m,0.0
log_dose_lag_190m,0.0
log_dose_lag_1d,0.0
log_dose_lag_7d,0.0
flux_lag_5m,0.0
flux_lag_95m,0.0
flux_lag_7d,0.0
proton_flux_proxy_gt10_mev_lag_5m,0.0
proton_flux_proxy_gt10_mev_lag_1h,0.0
proton_flux_proxy_gt10_mev_lag_90m,0.0
proton_flux_proxy_gt10_mev_lag_95m,0.0
proton_flux_proxy_gt10_mev_lag_100m,0.0
proton_flux_proxy_gt10_mev_lag_3h,0.0
proton_flux_proxy_gt10_mev_lag_190m,0.0
proton_flux_proxy_gt10_mev_lag_285m,0.0
proton_flux_proxy_gt10_mev_lag_6h,0.0
proton_flux_proxy_gt10_mev_lag_380m,0.0
proton_flux_proxy_gt10_mev_lag_12h,0.0
proton_flux_proxy_gt10_mev_lag_1d,0.0
proton_flux_proxy_gt10_mev_lag_3d,0.0
proton_flux_proxy_gt10_mev_lag_7d,0.0
proton_flux_proxy_gt50_mev_lag_5m,0.0
dose_residual_lag_12h,0.0
dose_residual_lag_380m,0.0
dose_residual_lag_6h,0.0
donki_flr_notification_count,0.0
samples_in_bin,0.0
log_dose,0.0
dose_residual,0.0
proton_flux_proxy_gt10_mev,0.0
proton_flux_proxy_gt50_mev,0.0
proton_flux_proxy_gt100_mev,0.0
xrs_a_flux,0.0
xrs_b_flux,0.0
log10_xrs_a_flux,0.0
Hp30,0.0
donki_cme_notification_count,0.0
donki_gst_notification_count,0.0
dose_residual_lag_285m,0.0
donki_hss_notification_count,0.0
Kp_status,0.0
Dst_status,0.0
dose_residual_lag_5m,0.0
dose_residual_lag_15m,0.0
dose_residual_lag_30m,0.0
dose_residual_lag_1h,0.0
dose_residual_lag_95m,0.0
dose_residual_lag_100m,0.0
dose_residual_lag_3h,0.0
dose_residual_lag_190m,0.0
proton_flux_proxy_gt50_mev_lag_15m,0.0
proton_flux_proxy_gt50_mev_lag_30m,0.0
proton_flux_proxy_gt50_mev_lag_1h,0.0
log10_xrs_a_flux_lag_1d,0.0
log10_xrs_a_flux_lag_30m,0.0
log10_xrs_a_flux_lag_1h,0.0
log10_xrs_a_flux_lag_90m,0.0
log10_xrs_a_flux_lag_95m,0.0
log10_xrs_a_flux_lag_100m,0.0
log10_xrs_a_flux_lag_3h,0.0
log10_xrs_a_flux_lag_190m,0.0
log10_xrs_a_flux_lag_285m,0.0
log10_xrs_a_flux_lag_6h,0.0
log10_xrs_a_flux_lag_380m,0.0
log10_xrs_a_flux_lag_12h,0.0
log10_xrs_a_flux_lag_3d,0.0
log10_xrs_a_flux_lag_5m,0.0
log10_xrs_a_flux_lag_7d,0.0
log10_xrs_b_flux_lag_5m,0.0
log10_xrs_b_flux_lag_15m,0.0
log10_xrs_b_flux_lag_30m,0.0
log10_xrs_b_flux_lag_1h,0.0
log10_xrs_b_flux_lag_90m,0.0
log10_xrs_b_flux_lag_100m,0.0
log10_xrs_b_flux_lag_285m,0.0
log10_xrs_b_flux_lag_12h,0.0
log10_xrs_b_flux_lag_1d,0.0
log10_xrs_b_flux_lag_3d,0.0
log10_xrs_a_flux_lag_15m,0.0
proton_flux_proxy_gt100_mev_lag_7d,0.0
proton_flux_proxy_gt50_mev_lag_90m,0.0
proton_flux_proxy_gt100_mev_lag_5m,0.0
proton_flux_proxy_gt50_mev_lag_95m,0.0
proton_flux_proxy_gt50_mev_lag_100m,0.0
proton_flux_proxy_gt50_mev_lag_3h,0.0
proton_flux_proxy_gt50_mev_lag_190m,0.0
proton_flux_proxy_gt50_mev_lag_285m,0.0
proton_flux_proxy_gt50_mev_lag_6h,0.0
proton_flux_proxy_gt50_mev_lag_380m,0.0
proton_flux_proxy_gt50_mev_lag_12h,0.0
proton_flux_proxy_gt50_mev_lag_1d,0.0
proton_flux_proxy_gt50_mev_lag_3d,0.0
proton_flux_proxy_gt50_mev_lag_7d,0.0
proton_flux_proxy_gt100_mev_lag_15m,0.0
proton_flux_proxy_gt100_mev_lag_1d,0.0
proton_flux_proxy_gt100_mev_lag_30m,0.0
proton_flux_proxy_gt100_mev_lag_1h,0.0
proton_flux_proxy_gt100_mev_lag_90m,0.0
proton_flux_proxy_gt100_mev_lag_95m,0.0
proton_flux_proxy_gt100_mev_lag_100m,0.0
proton_flux_proxy_gt100_mev_lag_3h,0.0
proton_flux_proxy_gt100_mev_lag_190m,0.0
proton_flux_proxy_gt100_mev_lag_285m,0.0
proton_flux_proxy_gt100_mev_lag_6h,0.0
proton_flux_proxy_gt100_mev_lag_380m,0.0
proton_flux_proxy_gt100_mev_lag_12h,0.0
log10_xrs_b_flux_lag_95m,0.0
